,Red_Win,Blue_Win,Red_Champions,Blue_Champions
43,True,False,"[122, 104, 161, 145, 888]","[114, 203, 84, 202, 63]"
44,False,True,"[164, 200, 4, 81, 432]","[122, 141, 55, 119, 26]"
45,False,True,"[86, 77, 38, 236, 902]","[48, 254, 55, 22, 16]"
46,True,False,"[86, 200, 105, 110, 888]","[875, 24, 101, 236, 267]"
47,True,False,"[77, 245, 4, 81, 40]","[82, 163, 91, 202, 43]"
48,False,True,"[68, 254, 55, 145, 201]","[14, 110, 63, 51, 412]"
49,True,False,"[150, 427, 127, 81, 350]","[69, 107, 131, 202, 412]"
50,False,True,"[14, 421, 7, 145, 43]","[92, 104, 103, 81, 267]"
51,True,False,"[14, 421, 518, 81, 43]","[4, 64, 82, 67, 432]"
52,False,True,"[17, 35, 55, 81, 143]","[126, 64, 22, 142, 53]"
53,False,True,"[26, 11, 136, 910, 555]","[69, 28, 238, 81, 432]"
54,False,True,"[14, 104, 4, 360, 53]","[24, 876, 55, 110, 910]"
55,False,True,"[102, 104, 85, 15, 53]","[48, 63, 84, 119, 902]"
56,False,True,"[27, 11, 246, 119, 902]","[69, 35, 105, 81, 267]"
57,False,True,"[82, 5, 84, 222, 37]","[14, 28, 38, 119, 40]"
58,False,True,"[122, 5, 105, 145, 147]","[67, 233, 268, 895, 888]"
59,False,True,"[14, 5, 55, 147, 80]","[106, 24, 34, 110, 25]"
60,True,False,"[98, 234, 1, 236, 267]","[55, 20, 114, 119, 89]"
61,False,True,"[19, 876, 105, 43, 412]","[82, 200, 517, 22, 164]"
62,False,True,"[43, 234, 518, 119, 111]","[54, 166, 427, 360, 53]"
63,True,False,"[887, 876, 8, 236, 902]","[92, 5, 84, 22, 518]"
64,False,True,"[92, 11, 39, 81, 43]","[77, 76, 268, 235, 29]"
65,True,False,"[41, 5, 84, 81, 40]","[516, 30, 897, 236, 267]"
66,True,False,"[887, 78, 126, 202, 555]","[85, 154, 238, 51, 235]"
67,False,True,"[43, 104, 38, 81, 267]","[164, 76, 4, 110, 22]"
68,False,True,"[54, 64, 161, 119, 80]","[267, 59, 8, 236, 516]"
69,True,False,"[122, 35, 85, 910, 432]","[1, 64, 84, 429, 888]"
70,False,True,"[92, 64, 136, 147, 37]","[58, 200, 134, 235, 43]"
71,False,True,"[887, 64, 98, 526, 110]","[41, 56, 112, 161, 24]"
72,True,False,"[92, 30, 166, 29, 497]","[78, 63, 238, 360, 53]"
73,True,False,"[897, 91, 105, 235, 910]","[92, 104, 103, 222, 80]"
74,True,False,"[80, 131, 42, 51, 40]","[68, 104, 134, 81, 26]"
75,True,False,"[86, 427, 18, 119, 111]","[223, 107, 517, 29, 43]"
76,True,False,"[41, 79, 91, 910, 111]","[85, 203, 777, 222, 37]"
77,True,False,"[99, 234, 42, 119, 526]","[23, 104, 75, 147, 45]"
78,True,False,"[164, 64, 84, 236, 267]","[266, 234, 517, 110, 432]"
79,True,False,"[24, 234, 61, 110, 43]","[41, 64, 68, 202, 89]"
80,True,False,"[233, 104, 13, 147, 89]","[39, 56, 517, 157, 53]"
81,True,False,"[266, 104, 69, 147, 40]","[1, 131, 126, 910, 85]"
82,True,False,"[516, 35, 38, 50, 40]","[98, 120, 55, 429, 555]"
83,True,False,"[98, 163, 157, 21, 412]","[113, 121, 55, 202, 497]"
84,False,True,"[41, 76, 101, 110, 888]","[5, 236, 161, 119, 555]"
85,True,False,"[67, 9, 777, 115, 888]","[133, 62, 8, 110, 40]"
86,False,True,"[92, 427, 245, 51, 43]","[79, 63, 126, 360, 12]"
87,True,False,"[516, 107, 517, 202, 910]","[897, 5, 4, 110, 902]"
88,False,True,"[92, 56, 27, 115, 432]","[84, 19, 38, 119, 412]"
89,True,False,"[266, 518, 105, 81, 432]","[86, 60, 91, 236, 902]"
90,False,True,"[41, 5, 111, 145, 32]","[98, 57, 238, 22, 235]"
91,True,False,"[84, 60, 18, 895, 50]","[517, 11, 166, 429, 16]"
92,True,False,"[24, 79, 55, 360, 526]","[82, 59, 3, 202, 12]"
93,False,True,"[19, 233, 18, 147, 37]","[126, 5, 84, 202, 432]"
94,False,True,"[114, 30, 777, 115, 57]","[122, 63, 80, 360, 432]"
95,True,False,"[17, 5, 90, 145, 267]","[114, 63, 14, 516, 202]"
96,False,True,"[246, 63, 23, 45, 497]","[107, 245, 238, 21, 57]"
97,True,False,"[58, 246, 4, 31, 235]","[164, 5, 38, 110, 22]"
98,True,False,"[98, 56, 245, 119, 60]","[126, 876, 517, 110, 143]"
99,False,True,"[82, 105, 233, 110, 497]","[24, 234, 4, 21, 147]"
100,False,True,"[122, 233, 50, 119, 53]","[266, 141, 42, 145, 12]"
101,False,True,"[887, 91, 161, 110, 14]","[164, 876, 134, 236, 902]"
102,True,False,"[240, 79, 164, 235, 147]","[266, 28, 91, 21, 99]"
103,False,True,"[79, 104, 238, 145, 53]","[31, 121, 4, 236, 902]"
104,False,True,"[240, 203, 268, 67, 143]","[85, 233, 42, 202, 43]"
105,False,True,"[516, 5, 131, 145, 53]","[10, 427, 238, 157, 79]"
106,False,True,"[154, 104, 246, 119, 99]","[92, 121, 910, 22, 40]"
107,True,False,"[897, 5, 81, 147, 40]","[2, 131, 4, 110, 37]"
108,True,False,"[77, 56, 136, 360, 12]","[24, 254, 238, 145, 902]"
109,False,True,"[150, 121, 4, 51, 40]","[114, 20, 238, 202, 53]"
110,True,False,"[145, 254, 34, 18, 40]","[82, 56, 268, 22, 902]"
111,False,True,"[86, 107, 42, 110, 497]","[77, 11, 61, 22, 43]"
112,False,True,"[897, 427, 82, 22, 12]","[2, 113, 91, 429, 89]"
113,False,True,"[39, 121, 134, 147, 412]","[157, 427, 42, 221, 526]"
114,False,True,"[516, 245, 91, 235, 223]","[887, 121, 517, 202, 40]"
115,False,True,"[54, 104, 99, 21, 63]","[897, 141, 134, 202, 432]"
116,False,True,"[6, 876, 75, 222, 53]","[48, 64, 61, 236, 902]"
117,False,True,"[266, 5, 142, 523, 40]","[13, 24, 45, 360, 517]"
118,True,False,"[77, 104, 157, 895, 89]","[54, 107, 517, 222, 432]"
119,True,False,"[92, 154, 90, 119, 902]","[875, 234, 777, 63, 432]"
120,False,True,"[238, 234, 887, 145, 75]","[69, 141, 55, 110, 154]"
121,True,False,"[19, 76, 18, 910, 235]","[897, 245, 55, 110, 267]"
122,True,False,"[240, 63, 246, 110, 902]","[41, 91, 4, 96, 117]"
123,True,False,"[106, 64, 517, 67, 555]","[85, 120, 13, 5, 235]"
124,False,True,"[68, 526, 61, 236, 902]","[23, 64, 42, 429, 888]"
125,False,True,"[114, 141, 55, 523, 497]","[240, 11, 268, 360, 53]"
126,True,False,"[82, 5, 43, 81, 12]","[92, 60, 69, 222, 526]"
127,True,False,"[517, 154, 126, 429, 555]","[897, 203, 68, 22, 163]"
128,True,False,"[98, 64, 43, 222, 497]","[31, 56, 910, 51, 25]"
129,False,True,"[246, 254, 517, 202, 53]","[43, 24, 91, 147, 80]"
130,True,False,"[23, 78, 517, 110, 526]","[897, 876, 246, 147, 235]"
131,False,True,"[164, 59, 238, 147, 22]","[39, 28, 517, 221, 54]"
132,False,True,"[24, 141, 101, 119, 350]","[266, 163, 238, 29, 267]"
133,False,True,"[164, 254, 246, 145, 57]","[266, 56, 4, 21, 497]"
134,False,True,"[7, 238, 1, 51, 267]","[68, 64, 112, 202, 40]"
135,False,True,"[887, 5, 518, 81, 267]","[266, 104, 84, 202, 99]"
136,False,True,"[54, 20, 80, 360, 44]","[517, 121, 38, 110, 235]"
137,True,False,"[897, 35, 245, 81, 43]","[67, 24, 90, 360, 57]"
138,False,True,"[77, 141, 246, 360, 910]","[266, 56, 268, 67, 40]"
139,False,True,"[887, 131, 166, 157, 12]","[875, 254, 38, 110, 40]"
140,False,True,"[24, 35, 166, 145, 53]","[43, 121, 103, 110, 497]"
141,False,True,"[897, 28, 777, 145, 53]","[112, 64, 103, 360, 555]"
142,False,True,"[27, 113, 157, 360, 3]","[420, 120, 67, 429, 201]"
143,True,False,"[82, 79, 10, 202, 432]","[62, 28, 112, 119, 235]"
144,False,True,"[777, 5, 7, 81, 497]","[68, 254, 236, 18, 147]"
145,True,False,"[83, 2, 131, 523, 902]","[27, 5, 18, 119, 26]"
146,False,True,"[24, 64, 42, 22, 902]","[516, 254, 55, 222, 235]"
147,False,True,"[23, 234, 163, 236, 40]","[24, 107, 126, 147, 37]"
148,False,True,"[122, 79, 157, 22, 201]","[23, 163, 711, 145, 89]"
149,True,False,"[23, 64, 50, 29, 201]","[98, 59, 55, 81, 111]"
150,True,False,"[77, 24, 268, 523, 16]","[82, 120, 105, 81, 89]"
151,True,False,"[164, 5, 4, 51, 99]","[27, 104, 34, 81, 43]"
152,False,True,"[17, 5, 245, 110, 497]","[68, 64, 18, 147, 40]"
153,True,False,"[86, 876, 517, 498, 40]","[897, 63, 18, 360, 432]"
154,False,True,"[122, 78, 45, 202, 201]","[92, 77, 163, 22, 98]"
155,True,False,"[80, 876, 112, 202, 432]","[92, 121, 84, 110, 34]"
156,False,True,"[14, 110, 131, 234, 432]","[114, 32, 238, 81, 7]"
157,False,True,"[164, 121, 136, 81, 40]","[897, 56, 142, 29, 111]"
158,False,True,"[58, 17, 4, 202, 143]","[84, 63, 56, 236, 235]"
159,True,False,"[777, 120, 55, 147, 37]","[98, 141, 518, 236, 80]"
160,True,False,"[68, 59, 105, 236, 555]","[777, 154, 246, 81, 43]"
161,False,True,"[266, 234, 55, 110, 17]","[8, 56, 268, 119, 111]"
162,True,False,"[74, 121, 268, 429, 432]","[27, 427, 55, 236, 902]"
163,True,False,"[82, 5, 103, 81, 43]","[110, 30, 4, 498, 902]"
164,False,True,"[266, 233, 131, 498, 432]","[43, 106, 115, 22, 161]"
165,True,False,"[84, 234, 4, 119, 40]","[98, 876, 777, 202, 101]"
166,True,False,"[86, 79, 112, 360, 526]","[24, 113, 7, 51, 40]"
167,False,True,"[82, 121, 268, 202, 526]","[86, 59, 43, 147, 235]"
168,True,False,"[114, 876, 246, 202, 412]","[777, 113, 136, 81, 267]"
169,False,True,"[58, 163, 166, 147, 37]","[31, 104, 29, 51, 142]"
170,False,True,"[122, 104, 13, 119, 412]","[68, 59, 91, 202, 43]"
171,True,False,"[164, 203, 112, 222, 117]","[897, 5, 517, 523, 432]"
172,False,True,"[266, 107, 84, 145, 44]","[166, 24, 268, 81, 432]"
173,True,False,"[17, 120, 134, 21, 111]","[68, 141, 517, 236, 201]"
174,True,False,"[82, 64, 268, 110, 888]","[24, 121, 8, 29, 80]"
175,False,True,"[266, 30, 4, 429, 111]","[910, 64, 101, 119, 432]"
176,False,True,"[75, 60, 69, 96, 77]","[887, 876, 39, 222, 37]"
177,True,False,"[14, 121, 134, 110, 22]","[518, 104, 115, 202, 63]"
178,False,True,"[98, 79, 238, 81, 267]","[14, 141, 13, 523, 53]"
179,False,True,"[122, 254, 99, 498, 412]","[24, 32, 246, 67, 902]"
180,False,True,"[54, 28, 4, 202, 497]","[86, 141, 84, 235, 12]"
181,True,False,"[92, 141, 101, 119, 40]","[23, 64, 245, 360, 111]"
182,False,True,"[24, 234, 105, 119, 40]","[68, 5, 55, 63, 235]"
183,False,True,"[86, 107, 910, 119, 117]","[85, 78, 69, 429, 57]"
184,True,False,"[897, 28, 11, 236, 432]","[67, 107, 134, 30, 43]"
185,False,True,"[31, 121, 50, 202, 99]","[157, 203, 84, 81, 22]"
186,True,False,"[54, 876, 166, 523, 497]","[82, 24, 63, 360, 50]"
187,True,False,"[82, 104, 39, 202, 43]","[79, 35, 238, 110, 40]"
188,False,True,"[68, 234, 910, 429, 201]","[555, 163, 75, 119, 101]"
189,False,True,"[166, 200, 61, 157, 161]","[80, 202, 134, 60, 235]"
190,True,False,"[54, 35, 91, 236, 98]","[777, 59, 69, 29, 12]"
191,False,True,"[122, 421, 42, 236, 32]","[67, 30, 43, 360, 57]"
192,True,False,"[122, 254, 268, 29, 117]","[85, 107, 78, 360, 89]"
193,False,True,"[223, 56, 61, 21, 111]","[887, 5, 136, 67, 235]"
194,False,True,"[166, 104, 42, 22, 16]","[67, 63, 61, 895, 43]"
195,False,True,"[133, 141, 711, 147, 235]","[78, 64, 38, 202, 267]"
196,True,False,"[68, 163, 236, 895, 497]","[240, 104, 8, 145, 111]"
197,True,False,"[80, 200, 84, 110, 43]","[114, 203, 105, 29, 432]"
198,False,True,"[122, 141, 1, 67, 888]","[23, 76, 555, 360, 40]"
199,False,True,"[79, 64, 134, 147, 25]","[23, 5, 4, 429, 555]"
200,False,True,"[43, 102, 79, 21, 267]","[887, 28, 157, 429, 53]"
201,False,True,"[86, 24, 84, 147, 22]","[897, 60, 126, 110, 57]"
202,True,False,"[43, 48, 157, 29, 117]","[777, 104, 61, 110, 53]"
203,True,False,"[68, 11, 234, 96, 43]","[516, 141, 69, 523, 147]"
204,False,True,"[92, 24, 84, 523, 26]","[875, 876, 7, 895, 235]"
205,True,False,"[266, 11, 43, 50, 40]","[67, 120, 4, 429, 432]"
206,True,False,"[897, 104, 99, 29, 432]","[10, 234, 3, 222, 40]"
207,True,False,"[19, 141, 3, 110, 22]","[77, 876, 777, 21, 17]"
208,False,True,"[48, 28, 4, 523, 902]","[777, 154, 105, 236, 37]"
209,True,False,"[266, 254, 61, 147, 40]","[777, 107, 42, 22, 57]"
210,False,True,"[68, 876, 126, 523, 43]","[92, 91, 55, 222, 16]"
211,False,True,"[80, 64, 61, 51, 53]","[85, 5, 518, 221, 78]"
212,False,True,"[98, 200, 166, 81, 37]","[24, 63, 18, 235, 147]"
213,False,True,"[777, 79, 61, 81, 432]","[266, 77, 517, 119, 235]"
214,False,True,"[19, 59, 38, 222, 235]","[266, 63, 29, 22, 267]"
215,True,False,"[17, 121, 101, 110, 235]","[27, 35, 55, 236, 902]"
216,True,False,"[777, 63, 43, 895, 201]","[68, 35, 8, 360, 89]"
217,False,True,"[17, 526, 61, 110, 53]","[897, 234, 101, 523, 143]"
218,False,True,"[43, 11, 86, 22, 235]","[10, 200, 13, 523, 526]"
219,True,False,"[114, 121, 99, 895, 40]","[266, 876, 777, 145, 555]"
220,True,False,"[6, 11, 79, 51, 40]","[82, 48, 777, 161, 267]"
221,False,True,"[516, 107, 4, 51, 40]","[86, 245, 238, 81, 43]"
222,True,False,"[86, 63, 22, 51, 40]","[48, 60, 101, 81, 432]"
223,False,True,"[157, 90, 154, 85, 145]","[21, 27, 80, 120, 497]"
224,False,True,"[106, 20, 4, 145, 432]","[67, 233, 42, 21, 89]"
225,True,False,"[74, 104, 517, 236, 201]","[84, 77, 268, 119, 555]"
226,True,False,"[23, 33, 84, 21, 497]","[266, 200, 4, 119, 143]"
227,True,False,"[39, 9, 26, 22, 16]","[154, 427, 112, 523, 25]"
228,False,True,"[41, 104, 84, 81, 147]","[39, 64, 142, 21, 432]"
229,True,False,"[98, 141, 134, 163, 57]","[114, 876, 112, 119, 7]"
230,False,True,"[240, 427, 34, 21, 235]","[154, 79, 39, 81, 37]"
231,True,False,"[897, 104, 38, 236, 267]","[92, 64, 105, 21, 497]"
232,False,True,"[164, 27, 518, 51, 43]","[150, 5, 8, 202, 22]"
233,False,True,"[777, 63, 75, 236, 267]","[92, 200, 887, 29, 235]"
234,True,False,"[57, 63, 134, 110, 164]","[24, 203, 7, 202, 26]"
235,False,True,"[80, 64, 42, 21, 143]","[39, 104, 268, 119, 497]"
236,False,True,"[14, 245, 13, 202, 201]","[897, 104, 517, 221, 111]"
237,False,True,"[84, 254, 161, 22, 36]","[113, 143, 157, 236, 235]"
238,False,True,"[92, 64, 68, 202, 235]","[58, 427, 55, 21, 497]"
239,False,True,"[80, 200, 8, 147, 432]","[516, 876, 517, 236, 902]"
240,False,True,"[92, 121, 13, 22, 40]","[79, 141, 4, 523, 43]"
241,True,False,"[23, 120, 131, 147, 37]","[67, 200, 43, 429, 412]"
242,True,False,"[75, 104, 79, 202, 43]","[126, 154, 245, 236, 267]"
243,True,False,"[516, 876, 246, 81, 40]","[126, 104, 142, 202, 432]"
244,False,True,"[58, 11, 26, 202, 37]","[82, 19, 80, 119, 111]"
245,False,True,"[36, 203, 131, 96, 902]","[114, 68, 142, 360, 111]"
246,False,True,"[107, 24, 61, 119, 40]","[17, 76, 246, 895, 111]"
247,False,True,"[4, 876, 777, 119, 44]","[10, 5, 166, 110, 89]"
248,True,False,"[3, 234, 18, 236, 267]","[8, 62, 7, 81, 44]"
249,False,True,"[133, 141, 245, 236, 902]","[150, 35, 157, 119, 555]"
250,False,True,"[122, 30, 5, 498, 497]","[12, 59, 84, 202, 235]"
251,False,True,"[82, 141, 58, 81, 43]","[10, 200, 157, 119, 40]"
252,True,False,"[114, 35, 134, 110, 235]","[24, 30, 166, 18, 26]"
253,False,True,"[516, 63, 38, 236, 902]","[875, 20, 4, 67, 37]"
254,True,False,"[777, 5, 910, 110, 1]","[54, 234, 517, 51, 43]"
255,True,False,"[114, 9, 238, 202, 161]","[82, 64, 43, 81, 235]"
256,False,True,"[897, 234, 115, 51, 555]","[24, 77, 777, 110, 12]"
257,True,False,"[79, 200, 246, 157, 555]","[50, 141, 897, 895, 902]"
258,False,True,"[58, 104, 42, 222, 43]","[77, 121, 1, 29, 117]"
259,True,False,"[80, 79, 4, 202, 22]","[58, 5, 7, 235, 99]"
260,False,True,"[84, 104, 22, 61, 12]","[223, 5, 163, 202, 78]"
261,False,True,"[79, 141, 166, 21, 432]","[68, 5, 777, 202, 40]"
262,False,True,"[82, 238, 38, 81, 43]","[102, 120, 18, 147, 412]"
263,False,True,"[897, 203, 268, 221, 902]","[74, 234, 245, 81, 432]"
264,False,True,"[126, 876, 268, 81, 526]","[133, 234, 236, 30, 427]"
265,False,True,"[77, 35, 126, 523, 235]","[150, 203, 54, 202, 22]"
266,False,True,"[24, 106, 69, 202, 43]","[107, 427, 42, 110, 412]"
267,False,True,"[266, 154, 84, 523, 40]","[897, 11, 268, 145, 555]"
268,True,False,"[23, 24, 38, 51, 43]","[86, 28, 84, 21, 111]"
269,True,False,"[240, 5, 131, 202, 26]","[54, 107, 134, 81, 43]"
270,False,True,"[266, 245, 18, 29, 497]","[777, 11, 43, 30, 154]"
271,False,True,"[2, 121, 84, 360, 89]","[777, 64, 45, 81, 497]"
272,True,False,"[164, 104, 34, 202, 53]","[157, 876, 42, 236, 267]"
273,True,False,"[83, 64, 163, 202, 40]","[516, 876, 777, 51, 902]"
274,True,False,"[78, 200, 55, 110, 555]","[266, 24, 134, 429, 53]"
275,False,True,"[68, 28, 246, 202, 17]","[92, 60, 517, 22, 35]"
276,True,False,"[14, 79, 157, 236, 902]","[122, 104, 84, 147, 526]"
277,False,True,"[897, 62, 517, 110, 235]","[154, 113, 91, 81, 99]"
278,True,False,"[887, 5, 268, 22, 235]","[266, 154, 134, 236, 53]"
279,True,False,"[126, 154, 105, 21, 50]","[266, 876, 43, 22, 497]"
280,False,True,"[82, 427, 238, 523, 235]","[516, 9, 91, 895, 267]"
281,True,False,"[141, 234, 8, 202, 526]","[54, 28, 81, 29, 43]"
282,True,False,"[897, 121, 61, 360, 44]","[266, 234, 42, 429, 111]"
283,False,True,"[266, 11, 99, 157, 910]","[126, 60, 134, 81, 12]"
284,False,True,"[54, 876, 39, 51, 57]","[517, 107, 163, 30, 888]"
285,True,False,"[84, 427, 126, 222, 147]","[777, 64, 157, 81, 432]"
286,True,False,"[77, 120, 105, 202, 53]","[68, 154, 236, 67, 526]"
287,False,True,"[85, 121, 517, 895, 902]","[92, 141, 50, 67, 16]"
288,True,False,"[24, 5, 517, 498, 902]","[86, 107, 99, 22, 910]"
289,True,False,"[897, 56, 7, 236, 432]","[516, 141, 43, 221, 57]"
290,False,True,"[17, 876, 950, 110, 497]","[516, 63, 238, 29, 147]"
291,False,True,"[897, 131, 43, 4, 22]","[54, 104, 1, 429, 143]"
292,False,True,"[122, 107, 910, 523, 267]","[92, 5, 245, 22, 432]"
293,True,False,"[8, 64, 38, 51, 40]","[266, 35, 161, 29, 412]"
294,True,False,"[887, 234, 246, 202, 43]","[23, 77, 157, 429, 12]"
295,False,True,"[266, 64, 7, 119, 40]","[150, 62, 13, 81, 50]"
296,True,False,"[39, 200, 43, 202, 40]","[4, 59, 777, 910, 412]"
297,True,False,"[67, 31, 91, 81, 267]","[10, 876, 126, 119, 43]"
298,False,True,"[516, 121, 86, 63, 910]","[48, 28, 134, 96, 902]"
299,False,True,"[79, 56, 777, 202, 78]","[27, 107, 69, 222, 142]"
300,True,False,"[84, 24, 55, 236, 235]","[133, 63, 112, 110, 910]"
301,True,False,"[240, 30, 246, 360, 267]","[31, 107, 112, 51, 12]"
302,False,True,"[54, 5, 245, 360, 412]","[106, 113, 777, 157, 497]"
303,True,False,"[79, 107, 4, 21, 412]","[68, 28, 18, 81, 80]"
304,False,True,"[77, 200, 897, 222, 555]","[420, 63, 84, 119, 235]"
305,True,False,"[80, 254, 112, 119, 43]","[266, 91, 268, 96, 902]"
306,True,False,"[80, 526, 84, 81, 432]","[17, 234, 38, 21, 518]"
307,False,True,"[86, 79, 777, 202, 35]","[166, 154, 910, 50, 22]"
308,True,False,"[126, 60, 268, 110, 201]","[14, 203, 131, 22, 267]"
309,True,False,"[23, 28, 238, 67, 235]","[164, 56, 127, 81, 57]"
310,False,True,"[78, 163, 157, 63, 40]","[68, 203, 69, 202, 53]"
311,False,True,"[897, 5, 161, 50, 235]","[69, 56, 103, 236, 902]"
312,True,False,"[777, 5, 84, 29, 235]","[68, 104, 101, 360, 143]"
313,False,True,"[58, 163, 7, 110, 555]","[24, 11, 101, 429, 526]"
314,False,True,"[48, 876, 103, 157, 516]","[122, 427, 55, 202, 57]"
315,False,True,"[92, 141, 43, 202, 497]","[777, 876, 4, 110, 1]"
316,False,True,"[897, 59, 105, 147, 37]","[875, 200, 4, 235, 555]"
317,True,False,"[887, 35, 142, 21, 497]","[24, 19, 777, 119, 53]"
318,False,True,"[68, 64, 233, 15, 43]","[77, 121, 1, 119, 497]"
319,True,False,"[164, 104, 101, 18, 53]","[2, 107, 103, 221, 117]"
320,False,True,"[67, 35, 91, 50, 235]","[85, 107, 105, 360, 53]"
321,False,True,"[126, 876, 517, 523, 235]","[150, 120, 7, 21, 201]"
322,True,False,"[48, 60, 56, 236, 902]","[92, 234, 10, 429, 888]"
323,False,True,"[24, 203, 163, 145, 111]","[41, 131, 134, 523, 57]"
324,True,False,"[157, 19, 127, 202, 17]","[10, 60, 8, 222, 902]"
325,True,False,"[516, 63, 4, 119, 89]","[79, 35, 517, 81, 53]"
326,False,True,"[86, 91, 517, 43, 147]","[420, 5, 127, 119, 235]"
327,True,False,"[897, 9, 18, 22, 267]","[2, 163, 64, 96, 111]"
328,True,False,"[27, 141, 268, 81, 432]","[166, 19, 13, 523, 40]"
329,False,True,"[266, 79, 29, 110, 53]","[10, 120, 25, 895, 235]"
330,False,True,"[39, 79, 950, 81, 53]","[2, 121, 3, 202, 497]"
331,False,True,"[31, 254, 238, 30, 53]","[77, 60, 246, 235, 902]"
332,False,True,"[2, 63, 84, 81, 555]","[86, 5, 147, 523, 17]"
333,False,True,"[14, 876, 518, 23, 526]","[85, 145, 163, 51, 25]"
334,False,True,"[2, 141, 161, 21, 16]","[10, 200, 246, 81, 26]"
335,True,False,"[777, 63, 84, 22, 3]","[48, 68, 238, 236, 89]"
336,False,True,"[48, 104, 711, 110, 555]","[77, 11, 517, 236, 902]"
337,False,True,"[39, 55, 141, 110, 555]","[41, 64, 777, 21, 32]"
338,True,False,"[39, 59, 910, 67, 43]","[777, 30, 161, 236, 902]"
339,False,True,"[41, 876, 777, 236, 902]","[516, 56, 61, 51, 43]"
340,True,False,"[122, 79, 27, 51, 412]","[240, 64, 84, 360, 111]"
341,True,False,"[14, 121, 517, 67, 235]","[2, 9, 54, 81, 63]"
342,True,False,"[887, 56, 1, 202, 235]","[777, 203, 910, 21, 16]"
343,True,False,"[69, 421, 238, 236, 267]","[55, 254, 84, 67, 3]"
344,True,False,"[23, 141, 517, 895, 235]","[164, 120, 105, 81, 37]"
345,False,True,"[84, 121, 101, 50, 235]","[161, 200, 154, 147, 110]"
346,False,True,"[122, 24, 268, 110, 432]","[6, 234, 910, 223, 50]"
347,False,True,"[92, 11, 43, 523, 117]","[164, 121, 13, 21, 89]"
